,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
724,21016,03,08,09,13,15,18,10
725,21015,06,14,16,26,28,29,07
726,21014,04,15,21,25,29,33,06
727,21013,06,09,12,16,27,31,06
728,21012,03,06,14,18,20,26,01
729,21011,05,10,16,23,27,33,14
730,21010,01,04,11,19,32,33,05
731,21009,02,04,07,24,25,32,13
732,21008,01,05,07,14,18,33,07
733,21007,02,04,12,21,25,32,16
734,21006,06,08,22,24,25,26,01
735,21005,07,09,14,26,30,31,04
736,21004,02,03,07,08,17,22,15
737,21003,06,09,16,18,22,29,11
738,21002,06,10,13,25,26,32,11
739,21001,02,03,13,18,20,31,11
740,20134,02,09,10,20,22,26,01
741,20133,03,19,22,23,27,29,07
742,20132,01,04,11,12,14,23,04
743,20131,08,19,22,26,27,30,07
744,20130,08,09,11,14,17,29,16
745,20129,01,02,05,15,28,33,04
746,20128,08,10,15,16,23,26,10
747,20127,01,04,18,19,26,31,07
748,20126,03,07,12,14,23,28,11
749,20125,05,12,16,26,30,31,13
750,20124,16,18,19,20,29,33,12
751,20123,01,03,18,19,26,29,03
752,20122,12,15,17,24,26,31,15
753,20121,02,04,06,21,25,29,03
754,20120,01,02,03,04,09,10,12
755,20119,01,09,22,28,32,33,15
756,20118,11,13,19,26,30,33,05
757,20117,07,08,09,10,16,27,07
758,20116,05,06,14,16,19,27,10
759,20115,01,04,12,20,25,32,02
760,20114,01,05,11,24,30,32,03
761,20113,01,03,07,10,22,32,11
762,20112,02,09,12,17,28,32,05
763,20111,06,09,17,22,24,26,16
764,20110,02,06,09,14,22,25,04
765,20109,06,13,16,20,23,32,13
766,20108,10,12,15,17,23,32,05
767,20107,03,09,11,24,25,28,16
768,20106,02,04,11,15,18,28,10
769,20105,06,14,19,20,22,24,01
770,20104,04,08,10,16,27,29,09
771,20103,04,09,10,22,28,32,08
772,20102,09,10,19,25,26,29,08
773,20101,10,17,24,25,28,30,15
774,20100,01,07,15,16,20,23,07
775,20099,05,06,11,12,15,30,12
776,20098,06,08,11,22,25,33,02
777,20097,02,08,21,25,26,30,10
778,20096,01,20,23,26,27,32,15
779,20095,03,09,16,17,20,26,02
780,20094,10,15,17,27,29,31,08
781,20093,04,05,10,13,15,19,15
782,20092,01,06,12,18,22,24,03
783,20091,01,09,11,12,16,19,16
784,20090,02,21,23,26,31,32,06
785,20089,02,14,16,21,29,30,10
786,20088,01,06,12,26,29,30,12
787,20087,11,15,20,23,25,33,10
788,20086,02,04,06,15,24,27,06
789,20085,01,02,05,09,19,24,16
790,20084,03,07,16,17,23,30,07
791,20083,01,19,25,26,30,31,12
792,20082,02,08,11,17,21,30,09
793,20081,01,05,13,14,27,33,15
794,20080,14,15,18,22,31,33,01
795,20079,05,12,20,21,22,29,14
796,20078,03,11,14,16,21,32,04
797,20077,03,10,16,21,25,27,12
798,20076,10,15,16,18,20,27,06
799,20075,03,11,13,20,24,30,16
800,20074,04,08,09,13,19,33,12
801,20073,05,07,11,13,27,29,03
802,20072,06,08,10,15,17,26,04
803,20071,09,11,12,13,22,23,08
804,20070,01,02,04,06,19,21,15
805,20069,03,09,10,13,18,26,04
806,20068,12,16,21,26,27,32,10
807,20067,04,07,09,23,27,30,08
808,20066,02,09,13,17,26,28,07
809,20065,09,15,18,21,23,26,08
810,20064,01,03,07,21,27,32,01
811,20063,12,15,16,22,29,32,14
812,20062,10,14,17,22,26,27,05
813,20061,08,17,24,26,27,31,04
814,20060,05,09,14,20,24,30,08
815,20059,02,04,10,17,22,25,14
816,20058,01,03,11,12,19,26,07
817,20057,09,14,21,23,26,32,03
818,20056,02,05,08,12,26,31,14
819,20055,01,05,07,23,28,30,12
820,20054,03,10,19,25,26,31,02
821,20053,02,14,15,16,32,33,01
822,20052,02,08,13,29,32,33,15
823,20051,03,06,08,11,19,28,08
824,20050,04,09,17,20,32,33,15
825,20049,01,07,09,12,18,22,04
826,20048,12,14,18,23,30,32,02
827,20047,04,10,17,19,28,32,01
828,20046,13,19,25,26,27,32,08
829,20045,02,03,15,21,22,33,16
830,20044,07,08,16,17,19,24,07
831,20043,01,11,24,25,27,30,07
832,20042,02,06,07,11,14,31,03
833,20041,06,07,16,22,24,25,13
834,20040,01,06,12,16,19,21,04
835,20039,02,09,10,11,16,29,02
836,20038,01,06,07,18,23,24,15
837,20037,01,04,11,13,17,24,15
838,20036,07,09,16,22,24,32,06
839,20035,10,14,24,25,28,33,11
840,20034,02,08,15,16,26,32,03
841,20033,07,10,12,21,31,32,01
842,20032,03,11,13,14,15,26,13
843,20031,02,05,09,15,16,27,09
844,20030,17,18,21,29,30,32,03
845,20029,01,12,18,20,30,32,05
846,20028,05,06,15,18,26,32,08
847,20027,12,13,14,24,25,28,06
848,20026,01,04,09,18,19,31,06
849,20025,01,09,10,15,20,29,02
850,20024,10,13,27,28,29,31,08
851,20023,04,05,20,21,30,33,08
852,20022,02,10,20,22,25,30,02
853,20021,02,06,14,16,27,31,07
854,20020,01,06,09,13,15,22,14
855,20019,15,19,27,28,30,33,03
856,20018,05,07,08,11,17,22,13
857,20017,02,04,07,15,20,27,04
858,20016,05,06,08,17,24,27,07
859,20015,08,09,22,24,30,33,01
860,20014,02,07,08,10,12,16,07
861,20013,02,08,10,20,21,30,14
862,20012,04,13,14,23,26,31,09
863,20011,04,05,07,17,18,29,01
864,20010,11,14,22,27,31,32,09
865,20009,03,06,08,14,19,26,12
866,20008,01,04,06,10,11,28,16
867,20007,05,12,17,20,25,31,10
868,20006,03,04,05,10,16,32,09
869,20005,11,16,17,22,26,32,04
870,20004,02,15,17,27,32,33,03
871,20003,09,17,26,29,30,32,03
872,20002,04,09,14,15,16,29,11
873,20001,02,15,23,26,29,30,02
874,19151,02,06,09,18,24,26,14
875,19150,02,09,14,22,27,29,02
876,19149,01,06,27,28,31,33,07
877,19148,09,10,13,20,26,27,08
878,19147,01,09,12,14,23,27,12
879,19146,01,04,10,12,30,32,14
880,19145,01,08,13,17,18,19,16
881,19144,02,12,15,19,27,30,03
882,19143,05,13,15,16,26,32,09
883,19142,08,14,24,27,29,33,09
884,19141,10,13,14,15,17,33,14
885,19140,02,04,09,11,14,22,05
886,19139,08,14,20,23,30,33,11
887,19138,02,06,12,30,31,32,11
888,19137,07,10,13,19,23,31,06
889,19136,12,14,15,17,29,33,12
890,19135,03,06,10,11,27,33,03
891,19134,01,04,06,22,29,30,03
892,19133,03,07,16,21,24,31,07
893,19132,04,06,11,14,19,33,07
894,19131,09,17,19,20,24,31,04
895,19130,01,07,09,11,24,32,16
896,19129,03,04,07,09,15,26,07
897,19128,03,08,12,16,17,19,08
898,19127,02,06,07,12,17,24,10
899,19126,02,14,17,29,32,33,16
900,19125,02,11,12,26,27,29,03
901,19124,04,09,30,31,32,33,01
902,19123,02,06,08,17,28,30,06
903,19122,04,10,15,19,21,23,02
904,19121,02,06,15,21,30,31,02
905,19120,10,12,27,31,32,33,03
906,19119,04,20,22,24,26,33,07
907,19118,12,14,15,25,28,31,04
908,19117,03,05,11,28,32,33,01
909,19116,01,08,09,13,16,33,01
910,19115,04,10,11,14,15,29,05
911,19114,02,04,09,11,12,30,01
912,19113,01,05,19,21,25,33,15
913,19112,03,12,14,17,23,27,01
914,19111,07,18,20,22,24,33,01
915,19110,01,18,22,26,27,28,08
916,19109,03,06,07,17,28,31,10
917,19108,07,13,19,22,25,32,13
918,19107,02,06,08,23,27,32,02
919,19106,02,14,22,27,30,33,14
920,19105,02,13,15,17,26,33,01
921,19104,01,05,16,17,18,24,10
922,19103,04,12,14,21,27,29,12
923,19102,03,08,12,16,20,32,12
924,19101,01,04,09,21,31,33,05
925,19100,01,04,12,13,30,32,08
926,19099,07,14,22,23,27,30,08
927,19098,03,11,12,14,17,26,09
928,19097,03,05,18,24,25,31,09
929,19096,05,07,12,18,27,32,11
930,19095,02,05,14,19,21,28,01
931,19094,05,10,12,18,19,27,06
932,19093,05,07,08,09,20,22,02
933,19092,09,17,27,28,32,33,08
934,19091,07,10,21,24,29,32,11
935,19090,02,03,06,08,14,22,04
936,19089,02,04,14,16,20,22,11
937,19088,13,14,15,21,23,29,13
938,19087,04,05,07,09,21,30,04
939,19086,16,22,24,26,28,31,06
940,19085,01,04,14,18,24,29,04
941,19084,04,08,14,18,20,27,03
942,19083,06,15,17,26,28,31,03
943,19082,07,16,19,22,24,28,02
944,19081,05,24,27,29,31,32,10
945,19080,03,06,08,20,24,32,07
946,19079,01,03,06,09,19,31,16
947,19078,01,17,27,29,31,33,12
948,19077,09,11,13,18,21,22,15
949,19076,12,15,19,20,29,32,14
950,19075,05,08,20,22,31,33,03
951,19074,12,21,27,29,31,33,04
952,19073,01,02,06,12,16,18,08
953,19072,02,09,13,15,22,30,15
954,19071,01,08,19,24,29,30,04
955,19070,06,15,18,19,24,32,09
956,19069,06,11,16,19,21,25,01
957,19068,03,14,20,24,26,33,10
958,19067,04,06,08,11,30,33,11
959,19066,01,14,17,20,22,32,04
960,19065,06,09,11,15,20,26,10
961,19064,12,20,24,25,30,33,12
962,19063,01,14,19,22,29,31,16
963,19062,07,13,16,23,26,30,01
964,19061,03,17,19,24,27,31,12
965,19060,03,04,14,20,23,27,01
966,19059,04,05,07,09,16,18,06
967,19058,07,08,12,21,23,27,12
968,19057,04,05,06,08,13,18,16
969,19056,13,14,17,19,21,29,01
970,19055,01,06,11,15,19,31,10
971,19054,07,10,11,15,24,26,11
972,19053,04,16,22,25,29,31,08
973,19052,03,06,09,13,16,19,16
974,19051,08,09,10,13,15,28,09
975,19050,04,06,10,11,21,23,02
976,19049,03,10,13,22,23,28,15
977,19048,03,07,10,12,18,29,10
978,19047,03,11,18,25,30,33,14
979,19046,02,12,16,22,25,32,06
980,19045,01,06,17,19,27,31,14
981,19044,06,14,16,17,23,29,07
982,19043,01,06,12,13,24,32,13
983,19042,15,17,19,22,25,26,04
984,19041,02,09,13,23,24,26,16
985,19040,05,06,09,18,23,31,11
986,19039,06,07,11,14,27,32,08
987,19038,09,12,21,27,29,30,05
988,19037,01,07,12,14,18,25,10
989,19036,02,10,13,16,23,32,08
990,19035,01,05,07,09,10,20,16
991,19034,09,11,15,22,24,26,03
992,19033,09,15,19,21,23,29,15
993,19032,04,08,09,13,28,33,04
994,19031,03,13,15,18,21,33,16
995,19030,04,05,07,10,12,22,16
996,19029,08,11,17,23,32,33,10
997,19028,04,19,22,26,29,30,11
998,19027,02,06,08,10,11,17,13
999,19026,03,13,15,19,20,27,14
1000,19025,15,16,21,27,30,33,04
1001,19024,01,08,23,25,28,29,10
1002,19023,01,10,14,15,18,31,13
1003,19022,03,07,11,21,30,33,07
1004,19021,02,05,07,08,20,27,04
1005,19020,02,12,13,23,27,28,12
1006,19019,03,11,17,18,24,25,06
1007,19018,04,11,18,19,26,32,04
1008,19017,04,05,24,28,30,33,09
1009,19016,05,07,09,11,19,25,05
1010,19015,11,15,16,20,24,31,04
1011,19014,01,02,03,14,19,33,03
1012,19013,05,07,14,16,18,21,01
1013,19012,07,10,21,23,31,33,14
1014,19011,10,13,19,21,24,30,07
1015,19010,02,04,05,08,11,30,02
1016,19009,01,07,10,22,31,32,15
1017,19008,02,06,09,13,28,32,12
1018,19007,06,10,14,15,19,23,15
1019,19006,01,05,10,19,26,28,12
1020,19005,21,22,26,28,31,32,07
1021,19004,08,12,16,19,26,32,03
1022,19003,13,17,20,21,22,27,01
1023,19002,04,05,06,08,09,18,11
1024,19001,06,10,13,15,32,33,15
1025,18153,01,07,17,23,25,31,11
1026,18152,04,14,16,23,28,29,03
1027,18151,05,15,19,25,26,29,15
1028,18150,06,08,15,19,20,31,05
1029,18149,01,07,08,10,12,24,01
1030,18148,03,06,18,19,21,31,01
1031,18147,03,15,17,23,27,30,11
1032,18146,02,10,11,17,18,29,16
1033,18145,03,09,13,22,23,25,06
1034,18144,08,13,17,18,20,27,13
1035,18143,04,06,15,28,32,33,14
1036,18142,05,08,10,11,27,28,11
1037,18141,11,14,16,18,24,33,04
1038,18140,01,15,20,22,25,28,14
1039,18139,11,18,20,23,31,32,15
1040,18138,01,10,25,27,30,32,09
1041,18137,03,05,11,15,20,23,09
1042,18136,10,12,15,25,26,27,14
1043,18135,01,03,06,10,11,29,16
1044,18134,03,16,18,31,32,33,12
1045,18133,02,04,11,12,18,32,13
1046,18132,01,02,09,10,15,22,06
1047,18131,21,22,24,31,32,33,01
1048,18130,05,12,17,18,24,28,12
1049,18129,02,04,06,16,18,19,16
1050,18128,06,07,08,19,22,23,02
1051,18127,02,05,06,07,11,15,12
1052,18126,01,06,08,09,14,22,05
1053,18125,03,10,11,14,15,32,02
1054,18124,09,13,14,19,22,25,02
1055,18123,13,21,24,27,31,32,01
1056,18122,05,07,20,22,30,32,10
1057,18121,06,08,14,19,23,25,11
1058,18120,03,04,18,26,27,33,01
1059,18119,03,13,14,16,25,27,12
1060,18118,08,12,21,22,27,31,09
1061,18117,08,11,15,17,23,25,05
1062,18116,05,14,17,22,23,28,15
1063,18115,01,13,19,24,26,29,11
1064,18114,01,07,15,16,20,27,14
1065,18113,01,06,09,16,25,26,09
1066,18112,05,08,18,25,26,31,04
1067,18111,01,07,14,24,25,28,08
1068,18110,11,13,16,21,22,23,02
1069,18109,10,11,18,23,31,33,15
1070,18108,05,13,18,21,26,30,02
1071,18107,01,02,05,12,20,22,01
1072,18106,04,18,19,24,25,26,10
1073,18105,04,05,13,18,19,25,01
1074,18104,02,03,06,19,25,29,01
1075,18103,02,09,15,22,23,24,16
1076,18102,02,06,11,19,21,28,05
1077,18101,01,03,14,26,29,33,09
1078,18100,02,11,14,15,29,33,02
1079,18099,03,07,08,14,25,32,06
1080,18098,06,10,11,20,29,32,13
1081,18097,01,02,17,20,25,28,13
1082,18096,01,05,09,20,28,32,12
1083,18095,10,11,12,21,26,33,09
1084,18094,04,07,16,20,24,30,05
1085,18093,04,18,20,21,29,33,07
1086,18092,06,10,16,19,24,33,16
1087,18091,06,11,13,17,25,32,07
1088,18090,01,02,04,10,14,23,07
1089,18089,06,09,12,14,18,27,14
1090,18088,03,05,12,29,30,32,14
1091,18087,01,05,10,16,18,31,03
1092,18086,02,07,17,21,23,26,16
1093,18085,04,10,25,26,30,33,06
1094,18084,05,06,08,12,22,24,03
1095,18083,04,09,18,21,32,33,03
1096,18082,06,12,14,20,22,24,09
1097,18081,01,02,12,16,20,26,03
1098,18080,04,07,13,20,29,33,03
1099,18079,14,15,17,22,24,29,13
1100,18078,03,10,14,17,18,30,12
1101,18077,02,05,09,15,20,24,10
1102,18076,03,07,08,15,29,30,13
1103,18075,07,09,12,13,22,24,11
1104,18074,09,11,14,20,27,30,09
1105,18073,02,09,14,15,16,23,10
1106,18072,11,16,19,22,25,30,08
1107,18071,02,05,06,13,16,19,03
1108,18070,04,09,15,16,19,27,10
1109,18069,06,13,17,19,23,31,12
1110,18068,08,10,17,20,27,30,01
1111,18067,01,04,09,12,15,18,05
1112,18066,09,16,17,19,22,26,10
1113,18065,01,04,06,14,28,33,01
1114,18064,02,05,10,11,17,21,05
1115,18063,05,06,10,16,20,25,12
1116,18062,02,18,19,24,25,33,11
1117,18061,09,10,11,12,18,23,07
1118,18060,04,08,13,25,30,31,10
1119,18059,04,06,08,13,22,32,11
1120,18058,07,12,13,16,26,31,07
1121,18057,05,15,17,19,20,30,13
1122,18056,01,03,06,20,21,26,01
1123,18055,07,09,10,12,22,26,07
1124,18054,04,06,18,22,25,33,16
1125,18053,01,04,10,11,14,27,06
1126,18052,03,05,06,09,15,32,14
1127,18051,05,07,20,23,27,31,04
1128,18050,01,02,04,10,18,19,07
1129,18049,01,03,04,11,19,23,02
1130,18048,01,12,20,25,30,31,02
1131,18047,06,07,12,16,22,25,07
1132,18046,10,13,14,18,20,31,03
1133,18045,03,04,06,25,26,30,01
1134,18044,05,09,12,17,27,30,06
1135,18043,01,04,06,08,21,24,07
1136,18042,06,10,21,28,29,31,12
1137,18041,07,08,20,23,24,32,13
1138,18040,01,03,08,13,18,23,16
1139,18039,08,12,18,19,23,32,03
1140,18038,15,23,24,25,28,29,09
1141,18037,01,06,07,08,27,30,10
1142,18036,08,17,24,26,28,33,04
1143,18035,07,10,11,17,23,28,15
1144,18034,01,05,11,22,23,26,15
1145,18033,04,19,20,22,28,33,06
1146,18032,21,22,23,24,25,32,06
1147,18031,02,16,18,19,27,30,14
1148,18030,13,14,20,21,25,33,07
1149,18029,01,02,09,14,22,25,05
1150,18028,03,08,11,14,18,23,16
1151,18027,02,07,09,14,18,28,05
1152,18026,04,07,12,14,26,32,04
1153,18025,04,13,16,19,21,25,14
1154,18024,11,19,22,26,31,32,02
1155,18023,12,15,16,21,26,29,16
1156,18022,07,14,19,21,22,23,03
1157,18021,03,04,06,11,23,28,14
1158,18020,06,09,10,14,28,30,05
1159,18019,03,11,12,16,21,23,09
1160,18018,02,12,13,18,25,27,07
1161,18017,03,06,11,26,30,32,12
1162,18016,01,11,12,18,25,27,16
1163,18015,11,15,20,21,26,33,15
1164,18014,09,12,20,24,28,31,07
1165,18013,06,08,13,15,22,33,06
1166,18012,11,12,13,19,26,28,12
1167,18011,03,10,21,23,27,33,11
1168,18010,01,08,17,20,21,22,03
1169,18009,05,10,17,23,26,32,07
1170,18008,05,09,10,12,17,19,13
1171,18007,13,14,20,25,27,31,12
1172,18006,02,07,08,09,17,29,11
1173,18005,02,20,21,28,31,33,06
1174,18004,14,18,19,26,30,31,11
1175,18003,01,14,16,17,20,31,04
1176,18002,07,18,24,29,31,33,16
1177,18001,01,08,11,26,28,31,04
1178,17154,05,09,13,15,18,26,05
1179,17153,07,11,12,13,18,19,16
1180,17152,06,10,23,25,26,29,05
1181,17151,02,05,07,09,11,27,16
1182,17150,06,14,19,20,21,23,08
1183,17149,05,08,15,20,27,30,13
1184,17148,04,07,11,14,29,32,12
1185,17147,03,07,20,21,25,31,14
1186,17146,01,19,25,26,27,33,10
1187,17145,02,06,12,17,25,28,12
1188,17144,03,14,16,20,31,32,09
1189,17143,04,06,09,14,20,29,14
1190,17142,08,13,14,18,23,33,06
1191,17141,01,06,07,11,13,15,05
1192,17140,21,22,25,28,29,30,08
1193,17139,02,14,20,24,28,32,16
1194,17138,01,17,24,28,32,33,02
1195,17137,05,10,20,23,26,31,03
1196,17136,03,07,10,18,21,24,12
1197,17135,01,06,07,14,18,26,16
1198,17134,04,05,11,14,28,32,04
1199,17133,06,15,17,18,23,30,11
1200,17132,02,03,05,09,13,28,11
1201,17131,01,07,10,11,26,27,11
1202,17130,05,13,14,23,25,31,02
1203,17129,05,06,09,14,21,33,02
1204,17128,02,06,13,22,29,31,08
1205,17127,14,15,21,24,27,32,12
1206,17126,01,16,17,21,27,30,16
1207,17125,01,14,23,25,29,30,03
1208,17124,02,06,11,26,28,29,03
1209,17123,04,05,06,11,21,31,10
1210,17122,11,20,21,22,24,27,15
1211,17121,11,18,19,22,24,32,07
1212,17120,08,10,15,19,23,28,16
1213,17119,09,16,21,25,26,31,14
1214,17118,08,09,15,22,30,33,16
1215,17117,01,02,08,11,14,21,09
1216,17116,02,14,20,22,30,32,02
1217,17115,04,10,11,25,30,31,01
1218,17114,06,12,13,15,18,26,13
1219,17113,04,06,16,27,29,33,05
1220,17112,03,10,14,16,22,23,11
1221,17111,05,10,17,19,29,32,12
1222,17110,01,03,12,15,19,23,14
1223,17109,08,14,16,18,21,23,16
1224,17108,07,12,14,15,17,20,01
1225,17107,08,09,15,17,30,32,06
1226,17106,12,15,20,25,27,31,02
1227,17105,03,06,07,12,25,26,07
1228,17104,01,14,15,20,23,30,14
1229,17103,01,21,23,25,31,33,01
1230,17102,04,08,10,14,18,20,11
1231,17101,01,04,11,28,31,32,16
1232,17100,04,07,08,18,23,24,02
1233,17099,02,05,06,16,28,29,04
1234,17098,04,19,22,27,30,33,01
1235,17097,05,10,18,19,30,31,03
1236,17096,02,06,11,12,19,29,06
1237,17095,09,10,12,19,22,29,16
1238,17094,08,11,13,19,28,31,06
1239,17093,07,08,09,15,22,27,12
1240,17092,10,18,19,29,32,33,09
1241,17091,05,07,10,23,28,29,03
1242,17090,01,07,10,16,22,33,09
1243,17089,11,12,13,16,23,25,12
1244,17088,07,09,18,22,23,29,06
1245,17087,03,06,13,14,19,28,06
1246,17086,03,05,06,13,20,22,07
1247,17085,01,05,06,16,25,30,09
1248,17084,01,05,11,20,22,24,02
1249,17083,03,08,14,20,24,26,12
1250,17082,14,18,21,25,28,29,10
1251,17081,03,05,14,25,26,30,05
1252,17080,01,12,16,20,22,24,08
1253,17079,03,07,14,23,25,27,08
1254,17078,05,07,18,19,22,24,16
1255,17077,01,02,04,15,17,22,14
1256,17076,01,04,08,09,14,15,13
1257,17075,01,03,06,19,21,29,07
1258,17074,02,06,16,23,30,31,02
1259,17073,03,06,16,23,26,30,14
1260,17072,06,11,14,23,26,30,02
1261,17071,02,03,06,14,31,32,03
1262,17070,01,06,14,22,25,26,12
1263,17069,02,11,12,23,29,31,05
1264,17068,02,06,10,22,30,31,15
1265,17067,01,03,04,10,18,29,04
1266,17066,01,04,06,17,19,26,03
1267,17065,02,05,08,10,12,21,07
1268,17064,02,10,16,22,24,28,15
1269,17063,12,16,20,22,25,31,04
1270,17062,01,07,22,24,26,31,10
1271,17061,06,07,12,20,26,27,11
1272,17060,05,10,13,24,26,31,04
1273,17059,04,08,09,15,19,25,09
1274,17058,01,09,13,22,28,32,11
1275,17057,18,20,22,23,30,31,16
1276,17056,13,14,18,19,21,28,06
1277,17055,07,12,13,20,24,31,05
1278,17054,02,03,09,23,28,33,08
1279,17053,04,09,11,15,29,31,06
1280,17052,07,08,18,24,29,31,07
1281,17051,02,05,09,15,24,25,11
1282,17050,10,12,20,24,27,29,07
1283,17049,01,08,14,15,20,29,10
1284,17048,05,08,09,14,15,19,07
1285,17047,02,05,08,10,32,33,02
1286,17046,04,13,14,23,26,32,10
1287,17045,05,07,16,20,21,25,05
1288,17044,08,16,19,21,31,32,06
1289,17043,08,13,16,23,27,31,08
1290,17042,01,02,04,07,10,23,04
1291,17041,04,10,13,15,22,27,04
1292,17040,15,19,23,28,29,33,04
1293,17039,02,04,12,14,17,24,15
1294,17038,01,04,08,13,24,27,05
1295,17037,11,15,20,22,25,30,05
1296,17036,01,02,05,10,24,27,15
1297,17035,01,06,14,24,28,32,12
1298,17034,04,07,08,19,32,33,13
1299,17033,05,07,15,20,23,30,15
1300,17032,05,08,15,24,27,31,11
1301,17031,06,10,16,26,27,29,03
1302,17030,01,07,09,20,23,30,02
1303,17029,02,15,21,23,25,30,10
1304,17028,07,08,12,13,22,30,09
1305,17027,02,04,11,14,27,30,05
1306,17026,03,10,12,19,27,30,08
1307,17025,02,15,16,17,22,32,07
1308,17024,09,21,25,26,29,31,13
1309,17023,01,03,04,11,18,22,14
1310,17022,02,06,15,16,18,32,15
1311,17021,02,05,10,22,32,33,09
1312,17020,04,08,10,12,31,33,10
1313,17019,04,06,08,12,23,25,08
1314,17018,01,02,03,17,25,31,09
1315,17017,03,07,08,10,22,23,12
1316,17016,05,08,16,22,27,29,02
1317,17015,01,08,09,14,17,32,01
1318,17014,06,08,18,20,23,31,13
1319,17013,08,11,28,29,31,33,06
1320,17012,10,11,14,15,16,24,07
1321,17011,10,11,12,23,26,29,16
1322,17010,05,08,19,25,28,30,07
1323,17009,02,06,08,09,15,29,14
1324,17008,07,13,15,27,28,29,13
1325,17007,02,04,05,24,26,33,15
1326,17006,02,04,08,26,29,33,08
1327,17005,06,11,12,22,23,30,05
1328,17004,05,13,17,26,27,30,07
1329,17003,01,04,08,15,27,32,16
1330,17002,15,19,23,24,25,32,03
1331,17001,09,11,14,20,25,26,15
1332,16153,07,09,16,24,25,29,06
1333,16152,02,08,09,16,20,22,07
1334,16151,06,11,16,20,22,33,07
1335,16150,02,04,05,09,13,21,05
1336,16149,03,20,23,26,32,33,07
1337,16148,01,02,11,20,26,30,14
1338,16147,04,14,18,28,31,32,12
1339,16146,03,07,15,16,17,23,10
1340,16145,01,03,07,12,19,20,06
1341,16144,04,10,12,27,32,33,05
1342,16143,06,09,23,24,25,33,13
1343,16142,01,10,17,21,23,30,12
1344,16141,04,13,15,17,21,24,15
1345,16140,01,02,05,17,26,32,10
1346,16139,01,06,19,26,28,30,03
1347,16138,07,16,20,24,25,30,07
1348,16137,01,06,09,10,15,32,14
1349,16136,02,07,10,20,27,29,03
1350,16135,02,08,10,18,20,33,12
1351,16134,11,12,13,14,18,33,13
1352,16133,15,16,21,22,27,33,15
1353,16132,05,08,13,19,27,28,07
1354,16131,04,10,18,19,25,27,02
1355,16130,03,17,21,23,27,28,01
1356,16129,05,06,08,21,31,33,14
1357,16128,04,09,11,17,26,27,13
1358,16127,07,12,17,26,29,31,16
1359,16126,02,06,12,17,18,19,10
1360,16125,01,06,08,20,27,30,03
1361,16124,09,15,21,24,27,32,10
1362,16123,07,09,12,14,20,27,16
1363,16122,15,22,23,24,28,29,08
1364,16121,02,03,10,23,25,28,09
1365,16120,02,05,06,21,25,28,09
1366,16119,09,19,21,30,31,32,04
1367,16118,09,14,22,23,31,33,14
1368,16117,03,10,14,17,28,33,02
1369,16116,07,18,20,23,27,31,13
1370,16115,06,08,20,22,26,27,09
1371,16114,05,16,20,22,27,29,09
1372,16113,01,11,16,17,20,26,14
1373,16112,06,12,14,15,18,25,12
1374,16111,02,04,07,14,15,32,04
1375,16110,05,07,28,31,32,33,08
1376,16109,09,11,15,16,27,33,05
1377,16108,02,03,07,08,19,26,16
1378,16107,06,11,18,26,27,32,01
1379,16106,04,05,13,22,25,30,04
1380,16105,08,10,19,27,28,31,16
1381,16104,05,09,11,18,30,31,04
1382,16103,01,05,13,19,24,27,11
1383,16102,05,08,10,14,17,30,13
1384,16101,01,03,19,24,32,33,01
1385,16100,03,10,22,23,27,29,04
1386,16099,01,11,21,23,27,33,06
1387,16098,02,08,25,29,31,32,06
1388,16097,06,13,25,26,28,31,01
1389,16096,06,13,14,21,22,24,16
1390,16095,01,05,09,12,18,32,12
1391,16094,06,07,10,12,18,31,10
1392,16093,06,09,15,17,25,27,09
1393,16092,02,13,15,23,24,29,06
1394,16091,04,08,14,22,23,28,07
1395,16090,02,13,17,20,21,26,07
1396,16089,01,03,14,30,31,32,08
1397,16088,03,14,16,18,25,33,15
1398,16087,02,03,10,11,14,21,12
1399,16086,09,10,11,12,15,32,05
1400,16085,01,12,19,20,21,25,16
1401,16084,02,04,12,18,24,26,05
1402,16083,09,16,17,24,30,31,04
1403,16082,06,12,14,15,17,20,09
1404,16081,02,06,15,25,30,32,07
1405,16080,01,16,17,24,25,32,14
1406,16079,01,03,10,12,24,28,02
1407,16078,02,04,08,23,26,29,02
1408,16077,01,09,17,19,20,29,10
1409,16076,07,08,13,22,30,32,01
1410,16075,01,03,06,16,29,32,07
1411,16074,06,10,11,12,20,25,12
1412,16073,09,11,12,15,16,20,13
1413,16072,05,16,19,22,24,25,02
1414,16071,19,21,26,28,29,32,01
1415,16070,03,06,11,18,23,29,01
1416,16069,08,10,11,20,21,27,11
1417,16068,08,19,23,28,31,32,01
1418,16067,09,13,18,20,27,31,04
1419,16066,03,07,13,18,19,20,05
1420,16065,13,16,22,25,26,27,14
1421,16064,03,12,14,17,19,26,03
1422,16063,16,17,18,23,28,32,07
1423,16062,12,13,15,18,19,21,09
1424,16061,05,06,08,18,20,32,08
1425,16060,04,05,22,26,29,32,08
1426,16059,04,11,12,20,25,28,15
1427,16058,03,05,18,20,24,32,11
1428,16057,07,12,19,22,23,26,11
1429,16056,03,04,08,11,16,18,14
1430,16055,05,06,10,16,22,26,11
1431,16054,06,11,16,19,28,32,04
1432,16053,02,08,10,12,29,31,01
1433,16052,01,06,13,19,24,28,16
1434,16051,01,02,04,09,15,33,12
