,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,24123,02,15,22,26,30,33,04
167,24122,05,07,09,16,17,29,15
168,24121,01,07,10,13,27,33,03
169,24120,01,05,07,11,18,19,07
170,24119,02,09,26,27,31,32,14
171,24118,02,03,04,06,11,15,14
172,24117,03,12,14,16,29,32,12
173,24116,01,15,20,22,31,32,03
174,24115,03,10,11,19,27,28,07
175,24114,07,11,18,24,27,32,04
176,24113,04,05,23,24,26,31,11
177,24112,08,11,16,25,29,32,03
178,24111,01,04,11,12,22,30,16
179,24110,04,13,17,23,25,33,14
180,24109,03,04,24,28,29,33,09
181,24108,01,08,09,23,24,30,08
182,24107,01,06,08,13,17,19,09
183,24106,03,08,11,22,31,33,04
184,24105,02,05,17,19,29,33,04
185,24104,05,16,23,24,26,29,04
186,24103,12,21,23,27,32,33,15
187,24102,09,15,18,21,22,25,01
188,24101,08,12,15,17,19,30,08
189,24100,13,14,19,20,27,30,05
190,24099,04,12,17,24,26,27,16
191,24098,03,08,10,20,30,31,02
192,24097,04,10,12,13,18,30,03
193,24096,02,04,14,18,23,27,13
194,24095,04,06,09,14,16,21,03
195,24094,06,13,17,22,25,27,09
196,24093,01,05,07,11,12,15,12
197,24092,03,08,11,12,18,29,05
198,24091,13,15,16,19,20,24,10
199,24090,07,11,17,24,31,32,12
200,24089,03,06,09,15,18,31,01
201,24088,03,08,10,17,30,32,10
202,24087,03,09,18,19,20,26,11
203,24086,17,19,20,23,25,31,02
204,24085,01,05,15,21,23,27,15
205,24084,01,08,10,13,19,29,13
206,24083,03,09,14,29,32,33,15
207,24082,01,02,13,16,17,29,16
208,24081,01,06,12,17,23,25,04
209,24080,06,11,12,27,29,30,13
210,24079,02,03,06,07,16,26,04
211,24078,05,09,14,21,22,26,12
212,24077,01,04,06,14,17,22,08
213,24076,03,22,24,27,29,32,15
214,24075,03,05,08,18,22,28,01
215,24074,07,08,10,22,24,32,07
216,24073,03,09,12,18,28,30,01
217,24072,01,14,20,21,23,27,06
218,24071,02,08,19,28,30,31,14
219,24070,04,13,18,20,22,28,05
220,24069,06,13,20,21,24,32,06
221,24068,01,02,07,19,20,21,01
222,24067,01,11,13,17,25,29,03
223,24066,08,09,12,22,26,32,13
224,24065,03,05,09,10,19,22,14
225,24064,06,08,17,18,28,30,05
226,24063,07,14,16,23,28,32,04
227,24062,01,07,10,16,18,27,16
228,24061,01,09,18,22,25,28,02
229,24060,01,02,06,10,22,28,15
230,24059,01,03,14,25,31,33,07
231,24058,08,12,13,17,27,29,13
